scenario,model_tag,model_kind,link,feature,coef
scaled,M1-EN,M1,,num__Team_Batted_First,0.0891117989548789
scaled,M1-EN,M1,,num__Catches_Fielder,0.0888158614177602
scaled,M1-EN,M1,,num__Total_Returns,0.077776282370152
scaled,M1-EN,M1,,num__All_Rounder,-0.0743649264368431
scaled,M1-EN,M1,,num__RunOuts,0.0411016677576721
scaled,M1-EN,M1,,num__Batted_Inns2,0.0342189869159079
scaled,M1-EN,M1,,num__Stumpings,0.0310225453447311
scaled,M1-EN,M1,,num__NonStriker_Runs,-0.0274170932821012
scaled,M1-EN,M1,,num__Team_Home,-0.0247504377505736
scaled,M1-EN,M1,,num__Batted_Inns1,0.0
scaled,M1-EN,M1,,num__Legal_Deliveries,0.0
scaled,M1-L1,M1,,num__Runs_Scored,2.365862225460363
scaled,M1-L1,M1,,num__Team_Won,1.996001302638248
scaled,M1-L1,M1,,num__Runs_Conceded,-1.7657414146577657
scaled,M1-L1,M1,,num__Overs_Bowled,1.6625012802758643
scaled,M1-L1,M1,,num__Balls_Faced,-1.0211310627069723
scaled,M1-L1,M1,,num__Run_Share,0.7784837019589447
scaled,M1-L1,M1,,num__Wickets_Total,0.7513615506561825
scaled,M1-L1,M1,,num__Economy_Rate,0.6416981347078777
scaled,M1-L1,M1,,num__Team_Total_Runs,-0.4135476773002828
scaled,M1-L1,M1,,num__Strike_Rate,-0.2495824113156992
scaled,M1-L1,M1,,num__Wicket_Impact,0.2456097845048076
scaled,M1-L1,M1,,num__Batter,0.2401156421274007
scaled,M1-L1,M1,,num__All_Rounder,-0.1733836810799943
scaled,M1-L1,M1,,num__Team_Total_Extras,0.1466313131893241
scaled,M1-L1,M1,,num__NoBalls_Thrown,-0.1204979537414994
scaled,M1-L1,M1,,num__Wkts_Bowled,0.1057522981227963
scaled,M1-L1,M1,,num__LegByes_Thrown,0.1042502683789907
scaled,M1-L1,M1,,num__Dot_Balls,-0.0928102720066904
scaled,M1-L1,M1,,num__Catches_Fielder,0.0884236158689118
scaled,M1-L1,M1,,num__Total_Returns,0.0739258950208958
scaled,M1-L1,M1,,num__Sixes_Hit,0.0738628325397161
scaled,M1-L1,M1,,num__Team_Batted_First,0.0665178697508617
scaled,M1-L1,M1,,num__RunOuts,0.0392629443717417
scaled,M1-L1,M1,,num__Stumpings,0.0302419360841265
scaled,M1-L1,M1,,num__NonStriker_Runs,-0.0216268654990887
scaled,M1-L1,M1,,num__Team_Home,-0.021349972585315
scaled,M1-L1,M1,,num__Batted_Inns2,0.0157424980756126
scaled,M1-L1,M1,,num__Bowler,0.0
scaled,M1-L1,M1,,num__Batted_Inns1,0.0
scaled,M1-L1,M1,,num__Fours_Hit,0.0
scaled,M1-L1,M1,,num__Bowled_Catch,0.0
scaled,M1-L1,M1,,num__Legal_Deliveries,0.0
scaled,M1-L2,M1,,num__Team_Won,1.971850043773869
scaled,M1-L2,M1,,num__Runs_Scored,1.85826591920912
scaled,M1-L2,M1,,num__Runs_Conceded,-1.6901288936427394
scaled,M1-L2,M1,,num__Overs_Bowled,1.3193385345698003
scaled,M1-L2,M1,,num__Run_Share,0.789872415564068
scaled,M1-L2,M1,,num__Economy_Rate,0.6215756534101647
scaled,M1-L2,M1,,num__Balls_Faced,-0.5750851584492969
scaled,M1-L2,M1,,num__Team_Total_Runs,-0.4318323276363842
scaled,M1-L2,M1,,num__Wickets_Total,0.397392747083915
scaled,M1-L2,M1,,num__Batter,0.354457943038757
scaled,M1-L2,M1,,num__Wkts_Bowled,0.3182739263109255
scaled,M1-L2,M1,,num__Bowled_Catch,0.2889804719084108
scaled,M1-L2,M1,,num__Legal_Deliveries,0.2865376753274612
scaled,M1-L2,M1,,num__Dot_Balls,-0.2808607398343279
scaled,M1-L2,M1,,num__Strike_Rate,-0.2640867892692959
scaled,M1-L2,M1,,num__Wicket_Impact,0.2287908411878101
scaled,M1-L2,M1,,num__Bowler,0.2118542459895405
scaled,M1-L2,M1,,num__Sixes_Hit,0.1995238362937826
scaled,M1-L2,M1,,num__Batted_Inns2,0.1693889803475213
scaled,M1-L2,M1,,num__Fours_Hit,0.152290440025845
scaled,M1-L2,M1,,num__Team_Total_Extras,0.1441655769061709
scaled,M1-L2,M1,,num__NoBalls_Thrown,-0.1350005778853212
scaled,M1-L2,M1,,num__Batted_Inns1,0.1204186325847045
scaled,M1-L2,M1,,num__LegByes_Thrown,0.1101807194970526
scaled,M1-L2,M1,,num__Team_Batted_First,0.1086783373853269
scaled,M1-L2,M1,,num__Catches_Fielder,0.0898929543130731
scaled,M1-L2,M1,,num__Total_Returns,0.0823203293908197
scaled,M1-L2,M1,,num__All_Rounder,-0.0745043796063068
scaled,M1-L2,M1,,num__RunOuts,0.0429232727892979
scaled,M1-L2,M1,,num__Stumpings,0.0319711532935257
scaled,M1-L2,M1,,num__Team_Home,-0.0281317008736186
